question_id,question,answer,category
1,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking
2,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account
3,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
4,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Cards
5,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking
6,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",General
7,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
8,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",General
9,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
10,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Loans
11,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking
12,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking
13,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking
14,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Account
15,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Loans
16,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards
17,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans
18,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Net Banking
19,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans
20,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General
21,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Account
22,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking
23,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account
24,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,General
25,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General
26,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking
27,How do I close my account?,Submit an account closure form at your branch with required documents.,General
28,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Account
29,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans
30,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards
31,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards
32,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General
33,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Loans
34,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Account
35,How do I close my account?,Submit an account closure form at your branch with required documents.,General
36,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Net Banking
37,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Account
38,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account
39,How do I close my account?,Submit an account closure form at your branch with required documents.,Account
40,How do I close my account?,Submit an account closure form at your branch with required documents.,Account
41,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General
42,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking
43,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans
44,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards
45,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
46,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",General
47,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking
48,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards
49,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking
50,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General
51,How do I close my account?,Submit an account closure form at your branch with required documents.,Account
52,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account
53,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Loans
54,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards
55,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General
56,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account
57,How do I close my account?,Submit an account closure form at your branch with required documents.,Account
58,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General
59,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans
60,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Net Banking
61,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards
62,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans
63,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General
64,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Cards
65,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",General
66,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards
67,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking
68,How do I close my account?,Submit an account closure form at your branch with required documents.,General
69,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",General
70,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Net Banking
71,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Loans
72,How do I close my account?,Submit an account closure form at your branch with required documents.,Cards
73,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Net Banking
74,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Net Banking
75,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards
76,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General
77,How do I close my account?,Submit an account closure form at your branch with required documents.,Cards
78,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account
79,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Loans
80,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards
81,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,General
82,How do I close my account?,Submit an account closure form at your branch with required documents.,Account
83,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking
84,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking
85,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans
86,How do I close my account?,Submit an account closure form at your branch with required documents.,Account
87,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Account
