question_id,question,answer,category,processed_question,processed_answer
1,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking,open new account,visit nearest branch required document apply online website
2,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account,document required account opening,need id proof address proof pan card passport-size photograph
3,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account,check account balance,check balance net banking mobile app atm visiting branch
4,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Cards,different type account available,offer savings current salary fixed deposit account
5,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking,close account,submit account closure form branch required document
6,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",General,document required account opening,need id proof address proof pan card passport-size photograph
7,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account,check account balance,check balance net banking mobile app atm visiting branch
8,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",General,document required account opening,need id proof address proof pan card passport-size photograph
9,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account,check account balance,check balance net banking mobile app atm visiting branch
10,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Loans,document required account opening,need id proof address proof pan card passport-size photograph
11,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking,open new account,visit nearest branch required document apply online website
12,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking,document required account opening,need id proof address proof pan card passport-size photograph
13,How do I close my account?,Submit an account closure form at your branch with required documents.,Net Banking,close account,submit account closure form branch required document
14,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Account,different type account available,offer savings current salary fixed deposit account
15,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Loans,open new account,visit nearest branch required document apply online website
16,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards,check account balance,check balance net banking mobile app atm visiting branch
17,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans,close account,submit account closure form branch required document
18,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Net Banking,different type account available,offer savings current salary fixed deposit account
19,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans,close account,submit account closure form branch required document
20,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General,different type account available,offer savings current salary fixed deposit account
21,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Account,different type account available,offer savings current salary fixed deposit account
22,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking,open new account,visit nearest branch required document apply online website
23,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account,document required account opening,need id proof address proof pan card passport-size photograph
24,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,General,open new account,visit nearest branch required document apply online website
25,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General,check account balance,check balance net banking mobile app atm visiting branch
26,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking,document required account opening,need id proof address proof pan card passport-size photograph
27,How do I close my account?,Submit an account closure form at your branch with required documents.,General,close account,submit account closure form branch required document
28,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Account,open new account,visit nearest branch required document apply online website
29,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Loans,different type account available,offer savings current salary fixed deposit account
30,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards,check account balance,check balance net banking mobile app atm visiting branch
31,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Cards,document required account opening,need id proof address proof pan card passport-size photograph
32,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General,different type account available,offer savings current salary fixed deposit account
33,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Loans,check account balance,check balance net banking mobile app atm visiting branch
34,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Account,open new account,visit nearest branch required document apply online website
35,How do I close my account?,Submit an account closure form at your branch with required documents.,General,close account,submit account closure form branch required document
36,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Net Banking,check account balance,check balance net banking mobile app atm visiting branch
37,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",Account,different type account available,offer savings current salary fixed deposit account
38,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account,document required account opening,need id proof address proof pan card passport-size photograph
39,How do I close my account?,Submit an account closure form at your branch with required documents.,Account,close account,submit account closure form branch required document
40,How do I close my account?,Submit an account closure form at your branch with required documents.,Account,close account,submit account closure form branch required document
41,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General,check account balance,check balance net banking mobile app atm visiting branch
42,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking,document required account opening,need id proof address proof pan card passport-size photograph
43,How do I close my account?,Submit an account closure form at your branch with required documents.,Loans,close account,submit account closure form branch required document
44,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards,check account balance,check balance net banking mobile app atm visiting branch
45,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account,check account balance,check balance net banking mobile app atm visiting branch
46,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",General,document required account opening,need id proof address proof pan card passport-size photograph
47,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Net Banking,document required account opening,need id proof address proof pan card passport-size photograph
48,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards,check account balance,check balance net banking mobile app atm visiting branch
49,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Net Banking,open new account,visit nearest branch required document apply online website
50,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",General,check account balance,check balance net banking mobile app atm visiting branch
51,How do I close my account?,Submit an account closure form at your branch with required documents.,Account,close account,submit account closure form branch required document
52,What documents are required for account opening?,"You need ID proof, address proof, PAN card, and passport-size photographs.",Account,document required account opening,need id proof address proof pan card passport-size photograph
53,How do I open a new account?,Visit our nearest branch with required documents or apply online through our website.,Loans,open new account,visit nearest branch required document apply online website
54,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Cards,check account balance,check balance net banking mobile app atm visiting branch
55,What are the different types of accounts available?,"We offer savings, current, salary, and fixed deposit accounts.",General,different type account available,offer savings current salary fixed deposit account
56,How do I check my account balance?,"You can check balance through net banking, mobile app, ATM, or by visiting branch.",Account,check account balance,check balance net banking mobile app atm visiting branch
57,How do I close my account?,Submit an account closure form at your branch with required documents.,Account,close account,submit account closure form branch required document
